year,type,name,postal_code,num_cardholders,revenue_self_generated,revenue_total_operating,revenue_total_capital,expend_materials,expend_staff,expend_total_operating,num_print_volumes,num_e_book_audio_titles,hoopla,num_e_learning_services,num_took_e_learning_courses,num_workstations_internet,total_direct_circulation,program_attendance,num_tech_programs,ill_num_borrowed,ill_num_lent,num_use_wifi,num_visits_irl,num_visits_websites,population,households
2019,Public or Union Library,Fauquier-Strickland Twp,P0L1G0,490,1190,56582,0,6896,34005,45990,13400,6190,0,0,0,6,4945,75,0,53,0,2,52,3,536,387
2019,Public or Union Library,Fort Erie,L2A2M1,8991,40139,1631085,381493,180787,1099726,1580528,80103,82230,1,0,0,39,175276,7366,32,409,1343,223,2465,968,30710,15569
2019,Public or Union Library,Fort Frances,P9A0A2,2834,33552,597943,0,56262,387544,575743,44291,81555,0,1,11,35,71097,18682,4,1111,571,270,2304,615,7739,3835
2019,Public or Union Library,French River,P0M2N0,654,8732,194793,0,6731,123916,165673,21483,80075,0,0,0,16,17256,763,4,71,4,76,285,24,3150,2662
2019,Public or Union Library,Front of Yonge Twp,K0E1R0,367,609,69618,0,9929,36447,62949,9667,80075,0,0,0,2,6452,976,3,166,0,8,61,10,2752,1250
2019,Public or Union Library,Gananoque,K7G2Y5,2454,653,218119,0,25870,142718,218567,15771,80075,0,1,0,7,24383,2341,8,932,328,24,426,129,5159,2546
2019,First Nations Library,Garden River FN,P6A5K9,10,0,15741,0,6769,15741,22510,3679,8955,0,0,0,7,964,250,0,0,0,20,40,5,1291,0
2019,Public or Union Library,Georgian Bay Twp,P0E1E0,4035,18825,217587,0,23807,144054,217587,17010,80075,0,2,12,11,23231,1539,1,158,76,175,130,215,2063,5736
2019,Public or Union Library,Georgina,L4P3P7,16227,49279,2629025,0,206461,1671744,2412798,84479,89608,1,1,196,29,307355,19642,17,1074,1026,371,6084,1652,52772,19545
2019,Contracting Municipality,Gillies Twp,P0T1W0,0,0,984,0,0,0,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,201
2019,LSB Library,Gogama LSB,P0M1W0,400,0,1338,0,755,0,1745,29,15,0,0,0,2,550,0,0,0,0,88,12,0,475,0
2019,Public or Union Library,Gore Bay Union,P0P1H0,639,3256,49834,0,3906,31673,49845,15136,80075,0,0,0,3,12012,0,0,366,0,22,65,0,1700,1244
2019,Contracting LSB,Goulais & District LSB,P0S1E0,0,0,9653,0,0,0,9653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4148,0
2019,Public or Union Library,Grand Valley Library Board,L9W5L2,2065,7549,304783,0,45532,175161,300110,17059,87909,0,0,0,9,46994,2805,5,900,736,50,649,100,2846,1708
2019,Public or Union Library,Gravenhurst Public Library,P1P1J1,5042,17660,756063,0,63006,521457,756063,43603,91338,0,3,64,8,102878,9506,152,1320,2053,208,1470,615,12310,8563
2019,Public or Union Library,Greater Madawaska Twp,K0J1H0,590,2326,99787,0,8885,64022,95759,13528,80075,0,0,0,3,7092,975,0,229,183,8,139,2,2518,2795
2019,Public or Union Library,Greater Sudbury,P3C4X8,64090,131340,7555852,293997,952900,4802356,7956757,323596,702356,1,2,1841,117,829413,26638,250,2722,2325,0,13116,634,161531,75776
2019,Public or Union Library,Greenstone,P0T1M0,2029,2981,460472,0,41416,331874,456106,84439,80490,0,1,5,42,21827,1427,0,294,484,103,325,0,4636,2930
2019,Public or Union Library,Grey Highlands,N0C1E0,3864,15911,518168,0,29183,373613,518168,43478,80125,0,1,41,17,44284,4374,2,633,1301,182,569,163,9804,5502
2019,Public or Union Library,Grimsby,L3M1Y1,7011,86843,1130874,57000,133999,684983,1130874,43859,407947,1,1,316,14,218422,14202,8,716,827,452,2832,798,27314,10613
2019,Public or Union Library,Guelph,N1H4J6,55446,315321,10254545,280421,1423871,6366201,10262571,289785,45720,1,6,1594,50,1968402,52595,44,2571,6065,1260,27426,18739,131790,57297
2019,Public or Union Library,Haldimand County,N1A2X5,12258,69369,2421877,2098843,209130,1165320,2421877,144284,82789,0,2,241,21,310834,14742,0,2150,2877,213,3326,3899,45608,20369
2019,"County, County co-operative or Regional Municipality Library",Haliburton County,K0M1S0,8358,12722,1105079,0,118847,883758,1105079,45908,80991,0,0,0,28,157083,7195,138,557,549,613,3372,1198,18062,21113
